model,imputation,fold,best_inner_auc,best_params
XGBoost,2,4,0.5424,"{""model__subsample"": ""1.0"", ""model__scale_pos_weight"": ""2.4"", ""model__reg_lambda"": ""10.0"", ""model__n_estimators"": ""600"", ""model__min_child_weight"": ""3"", ""model__max_depth"": ""4"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
LightGBM,2,4,0.549,"{""model__subsample_freq"": ""1"", ""model__subsample"": ""1.0"", ""model__reg_lambda"": ""1.0"", ""model__num_leaves"": ""31"", ""model__n_estimators"": ""400"", ""model__min_child_samples"": ""10"", ""model__max_depth"": ""-1"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
Logistic Regression (L2),2,5,0.49,"{""model__C"": ""1""}"
Elastic-Net Logistic,2,5,0.5,"{""model__C"": ""0.01"", ""model__l1_ratio"": ""0.15""}"
Random Forest,2,5,0.4353,"{""model__n_estimators"": ""400"", ""model__min_samples_split"": ""10"", ""model__min_samples_leaf"": ""5"", ""model__max_features"": ""0.3"", ""model__max_depth"": ""None""}"
Extra Trees,2,5,0.4969,"{""model__n_estimators"": ""400"", ""model__min_samples_leaf"": ""3"", ""model__max_features"": ""sqrt"", ""model__max_depth"": ""8""}"
SVM (RBF),2,5,0.5047,"{""model__C"": ""0.5"", ""model__gamma"": ""0.3""}"
AdaBoost,2,5,0.491,"{""model__n_estimators"": ""50"", ""model__learning_rate"": ""0.1"", ""model__estimator__min_samples_leaf"": ""1"", ""model__estimator__max_depth"": ""2""}"
XGBoost,2,5,0.4564,"{""model__subsample"": ""0.7"", ""model__scale_pos_weight"": ""2.4"", ""model__reg_lambda"": ""1.0"", ""model__n_estimators"": ""200"", ""model__min_child_weight"": ""5"", ""model__max_depth"": ""3"", ""model__learning_rate"": ""0.1"", ""model__colsample_bytree"": ""1.0""}"
LightGBM,2,5,0.479,"{""model__subsample_freq"": ""1"", ""model__subsample"": ""1.0"", ""model__reg_lambda"": ""1.0"", ""model__num_leaves"": ""31"", ""model__n_estimators"": ""400"", ""model__min_child_samples"": ""10"", ""model__max_depth"": ""-1"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
Logistic Regression (L2),3,1,0.5434,"{""model__C"": ""0.05""}"
Elastic-Net Logistic,3,1,0.6128,"{""model__C"": ""0.1"", ""model__l1_ratio"": ""0.85""}"
Random Forest,3,1,0.4641,"{""model__n_estimators"": ""400"", ""model__min_samples_split"": ""5"", ""model__min_samples_leaf"": ""1"", ""model__max_features"": ""0.3"", ""model__max_depth"": ""3""}"
Extra Trees,3,1,0.5117,"{""model__n_estimators"": ""200"", ""model__min_samples_leaf"": ""5"", ""model__max_features"": ""sqrt"", ""model__max_depth"": ""5""}"
SVM (RBF),3,1,0.5081,"{""model__C"": ""0.5"", ""model__gamma"": ""0.01""}"
AdaBoost,3,1,0.4928,"{""model__n_estimators"": ""200"", ""model__learning_rate"": ""0.01"", ""model__estimator__min_samples_leaf"": ""5"", ""model__estimator__max_depth"": ""1""}"
