threshold_type,threshold,auc,average_precision,brier,accuracy,balanced_accuracy,f1,mcc,sensitivity,specificity,ppv,npv
default 0.50,0.5,0.5395,0.3294,0.2469,0.5614,0.5258,0.3697,0.0478,0.44,0.6116,0.3188,0.7255
Youden 0.40,0.3991,0.5395,0.3294,0.2469,0.4912,0.5701,0.4663,0.1347,0.76,0.3802,0.3363,0.7931
