auc,average_precision,brier,accuracy,balanced_accuracy,f1,mcc,sensitivity,specificity,ppv,npv,model,imputation,fold,n_test,fit_seconds
0.48,0.36725079564398455,0.25676125792368937,0.42857142857142855,0.39,0.23076923076923078,-0.1995059687802532,0.3,0.48,0.1875,0.631578947368421,Logistic Regression (L2),1,1,35,3.68
0.5,0.3449419191919192,0.2490064839631804,0.5428571428571428,0.44000000000000006,0.2,-0.12,0.2,0.68,0.2,0.68,Elastic-Net Logistic,1,1,35,2.5
0.28,0.24830093517593516,0.2634514161218829,0.4857142857142857,0.37,0.1,-0.26,0.1,0.64,0.1,0.64,Random Forest,1,1,35,12.15
0.528,0.32610434843793973,0.252273989533981,0.5142857142857142,0.44999999999999996,0.2608695652173913,-0.09349469900084573,0.3,0.6,0.23076923076923078,0.6818181818181818,Extra Trees,1,1,35,9.09
0.304,0.3024122114444695,0.2047247703678829,0.7142857142857143,0.5,0.0,0.0,0.0,1.0,,0.7142857142857143,SVM (RBF),1,1,35,8.33
0.28800000000000003,0.2803030303030303,0.2355545882436725,0.7142857142857143,0.5,0.0,0.0,0.0,1.0,,0.7142857142857143,AdaBoost,1,1,35,7.67
0.33999999999999997,0.26686958874458877,0.22386987507343292,0.6857142857142857,0.48,0.0,-0.10846522890932808,0.0,0.96,0.0,0.7058823529411765,XGBoost,1,1,35,4.2
0.40399999999999997,0.2863324025829002,0.27301013324007933,0.4857142857142857,0.43000000000000005,0.25,-0.12909944487358058,0.3,0.56,0.21428571428571427,0.6666666666666666,LightGBM,1,1,35,4.45
0.5125000000000001,0.32776780757405943,0.25165212078503074,0.5588235294117647,0.5708333333333333,0.4444444444444444,0.12909944487358055,0.6,0.5416666666666666,0.35294117647058826,0.7647058823529411,Logistic Regression (L2),1,2,34,2.41
0.5458333333333333,0.36607843137254903,0.258389595883194,0.5588235294117647,0.5708333333333333,0.4444444444444444,0.12909944487358055,0.6,0.5416666666666666,0.35294117647058826,0.7647058823529411,Elastic-Net Logistic,1,2,34,2.64
0.4541666666666666,0.2870927350513264,0.24091468051624018,0.5588235294117647,0.4541666666666667,0.21052631578947367,-0.09467292624062575,0.2,0.7083333333333334,0.2222222222222222,0.68,Random Forest,1,2,34,12.05
0.5875,0.3773690476190476,0.22767039418738483,0.6176470588235294,0.5541666666666667,0.38095238095238093,0.10551336327082937,0.4,0.7083333333333334,0.36363636363636365,0.7391304347826086,Extra Trees,1,2,34,9.86
0.5249999999999999,0.3200402774012831,0.20772916702604732,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,SVM (RBF),1,2,34,8.49
0.475,0.29106185469356827,0.22545449413060045,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,AdaBoost,1,2,34,7.78
0.4125,0.26817034127424155,0.2700275480747223,0.47058823529411764,0.47916666666666663,0.35714285714285715,-0.03803628871563654,0.5,0.4583333333333333,0.2777777777777778,0.6875,XGBoost,1,2,34,4.05
0.2833333333333333,0.22530068143740198,0.3053136427911888,0.47058823529411764,0.3625,0.1,-0.275,0.1,0.625,0.1,0.625,LightGBM,1,2,34,4.05
0.5750000000000001,0.354181202257578,0.24684208027862228,0.6764705882352942,0.6541666666666667,0.5217391304347826,0.2890977924120722,0.6,0.7083333333333334,0.46153846153846156,0.8095238095238095,Logistic Regression (L2),1,3,34,2.45
