bin,n,mean_predicted,observed_rate,brier,calibration_slope,calibration_intercept
1,22,0.16316429955839132,0.22727272727272727,0.2469,0.188,-0.838
2,21,0.31352056845667464,0.23809523809523808,0.2469,0.188,-0.838
3,21,0.383045870872446,0.23809523809523808,0.2469,0.188,-0.838
4,21,0.42970984566919057,0.38095238095238093,0.2469,0.188,-0.838
5,22,0.4798358477713647,0.3181818181818182,0.2469,0.188,-0.838
6,21,0.5369658427270664,0.38095238095238093,0.2469,0.188,-0.838
7,21,0.5902406516114188,0.2857142857142857,0.2469,0.188,-0.838
8,22,0.6781331123761192,0.2727272727272727,0.2469,0.188,-0.838
