model,imputation,fold,best_inner_auc,best_params
SVM (RBF),4,4,0.5898,"{""model__C"": ""0.1"", ""model__gamma"": ""0.01""}"
AdaBoost,4,4,0.7365,"{""model__n_estimators"": ""200"", ""model__learning_rate"": ""0.01"", ""model__estimator__min_samples_leaf"": ""5"", ""model__estimator__max_depth"": ""1""}"
XGBoost,4,4,0.7438,"{""model__subsample"": ""0.85"", ""model__scale_pos_weight"": ""1.0"", ""model__reg_lambda"": ""5.0"", ""model__n_estimators"": ""200"", ""model__min_child_weight"": ""3"", ""model__max_depth"": ""4"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
LightGBM,4,4,0.7342,"{""model__subsample_freq"": ""1"", ""model__subsample"": ""0.85"", ""model__reg_lambda"": ""1.0"", ""model__num_leaves"": ""15"", ""model__n_estimators"": ""400"", ""model__min_child_samples"": ""5"", ""model__max_depth"": ""-1"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
Logistic Regression (L2),4,5,0.6709,"{""model__C"": ""0.05""}"
Elastic-Net Logistic,4,5,0.815,"{""model__C"": ""0.1"", ""model__l1_ratio"": ""0.85""}"
Random Forest,4,5,0.6691,"{""model__n_estimators"": ""400"", ""model__min_samples_split"": ""2"", ""model__min_samples_leaf"": ""5"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""8""}"
Extra Trees,4,5,0.6833,"{""model__n_estimators"": ""400"", ""model__min_samples_leaf"": ""3"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""5""}"
SVM (RBF),4,5,0.6367,"{""model__C"": ""3"", ""model__gamma"": ""0.01""}"
AdaBoost,4,5,0.7038,"{""model__n_estimators"": ""50"", ""model__learning_rate"": ""0.03"", ""model__estimator__min_samples_leaf"": ""2"", ""model__estimator__max_depth"": ""1""}"
XGBoost,4,5,0.6916,"{""model__subsample"": ""0.85"", ""model__scale_pos_weight"": ""3.0"", ""model__reg_lambda"": ""10.0"", ""model__n_estimators"": ""200"", ""model__min_child_weight"": ""3"", ""model__max_depth"": ""3"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
LightGBM,4,5,0.6936,"{""model__subsample_freq"": ""1"", ""model__subsample"": ""0.85"", ""model__reg_lambda"": ""0.0"", ""model__num_leaves"": ""7"", ""model__n_estimators"": ""400"", ""model__min_child_samples"": ""20"", ""model__max_depth"": ""3"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""1.0""}"
Logistic Regression (L2),5,1,0.6649,"{""model__C"": ""0.01""}"
Elastic-Net Logistic,5,1,0.7911,"{""model__C"": ""0.01"", ""model__l1_ratio"": ""0.15""}"
Random Forest,5,1,0.7086,"{""model__n_estimators"": ""400"", ""model__min_samples_split"": ""2"", ""model__min_samples_leaf"": ""5"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""8""}"
Extra Trees,5,1,0.6809,"{""model__n_estimators"": ""400"", ""model__min_samples_leaf"": ""3"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""5""}"
SVM (RBF),5,1,0.6061,"{""model__C"": ""0.5"", ""model__gamma"": ""0.01""}"
AdaBoost,5,1,0.7652,"{""model__n_estimators"": ""200"", ""model__learning_rate"": ""0.01"", ""model__estimator__min_samples_leaf"": ""5"", ""model__estimator__max_depth"": ""1""}"
XGBoost,5,1,0.7188,"{""model__subsample"": ""0.85"", ""model__scale_pos_weight"": ""1.0"", ""model__reg_lambda"": ""5.0"", ""model__n_estimators"": ""200"", ""model__min_child_weight"": ""3"", ""model__max_depth"": ""4"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
LightGBM,5,1,0.7159,"{""model__subsample_freq"": ""1"", ""model__subsample"": ""0.85"", ""model__reg_lambda"": ""5.0"", ""model__num_leaves"": ""7"", ""model__n_estimators"": ""600"", ""model__min_child_samples"": ""20"", ""model__max_depth"": ""3"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
Logistic Regression (L2),5,2,0.6836,"{""model__C"": ""0.001""}"
Elastic-Net Logistic,5,2,0.8212,"{""model__C"": ""0.01"", ""model__l1_ratio"": ""0.15""}"
Random Forest,5,2,0.6994,"{""model__n_estimators"": ""200"", ""model__min_samples_split"": ""2"", ""model__min_samples_leaf"": ""3"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""8""}"
Extra Trees,5,2,0.7535,"{""model__n_estimators"": ""400"", ""model__min_samples_leaf"": ""3"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""5""}"
SVM (RBF),5,2,0.7076,"{""model__C"": ""0.1"", ""model__gamma"": ""0.03""}"
AdaBoost,5,2,0.7754,"{""model__n_estimators"": ""50"", ""model__learning_rate"": ""0.03"", ""model__estimator__min_samples_leaf"": ""2"", ""model__estimator__max_depth"": ""1""}"
XGBoost,5,2,0.7102,"{""model__subsample"": ""0.85"", ""model__scale_pos_weight"": ""1.0"", ""model__reg_lambda"": ""5.0"", ""model__n_estimators"": ""200"", ""model__min_child_weight"": ""3"", ""model__max_depth"": ""4"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
LightGBM,5,2,0.719,"{""model__subsample_freq"": ""1"", ""model__subsample"": ""0.85"", ""model__reg_lambda"": ""0.0"", ""model__num_leaves"": ""7"", ""model__n_estimators"": ""400"", ""model__min_child_samples"": ""20"", ""model__max_depth"": ""3"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""1.0""}"
Logistic Regression (L2),5,3,0.6725,"{""model__C"": ""0.01""}"
Elastic-Net Logistic,5,3,0.7963,"{""model__C"": ""0.01"", ""model__l1_ratio"": ""0.15""}"
Random Forest,5,3,0.7126,"{""model__n_estimators"": ""200"", ""model__min_samples_split"": ""10"", ""model__min_samples_leaf"": ""2"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""3""}"
Extra Trees,5,3,0.7003,"{""model__n_estimators"": ""400"", ""model__min_samples_leaf"": ""3"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""5""}"
SVM (RBF),5,3,0.6675,"{""model__C"": ""0.5"", ""model__gamma"": ""0.01""}"
AdaBoost,5,3,0.7639,"{""model__n_estimators"": ""50"", ""model__learning_rate"": ""0.03"", ""model__estimator__min_samples_leaf"": ""2"", ""model__estimator__max_depth"": ""1""}"
XGBoost,5,3,0.7085,"{""model__subsample"": ""0.85"", ""model__scale_pos_weight"": ""1.0"", ""model__reg_lambda"": ""1.0"", ""model__n_estimators"": ""200"", ""model__min_child_weight"": ""3"", ""model__max_depth"": ""3"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""1.0""}"
LightGBM,5,3,0.7045,"{""model__subsample_freq"": ""1"", ""model__subsample"": ""0.85"", ""model__reg_lambda"": ""5.0"", ""model__num_leaves"": ""7"", ""model__n_estimators"": ""600"", ""model__min_child_samples"": ""20"", ""model__max_depth"": ""3"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
Logistic Regression (L2),5,4,0.6429,"{""model__C"": ""10""}"
Elastic-Net Logistic,5,4,0.7856,"{""model__C"": ""0.01"", ""model__l1_ratio"": ""0.15""}"
Random Forest,5,4,0.7226,"{""model__n_estimators"": ""200"", ""model__min_samples_split"": ""2"", ""model__min_samples_leaf"": ""3"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""8""}"
Extra Trees,5,4,0.699,"{""model__n_estimators"": ""400"", ""model__min_samples_leaf"": ""3"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""5""}"
SVM (RBF),5,4,0.592,"{""model__C"": ""0.1"", ""model__gamma"": ""0.01""}"
AdaBoost,5,4,0.7404,"{""model__n_estimators"": ""50"", ""model__learning_rate"": ""0.03"", ""model__estimator__min_samples_leaf"": ""2"", ""model__estimator__max_depth"": ""1""}"
XGBoost,5,4,0.7469,"{""model__subsample"": ""0.85"", ""model__scale_pos_weight"": ""1.0"", ""model__reg_lambda"": ""5.0"", ""model__n_estimators"": ""200"", ""model__min_child_weight"": ""3"", ""model__max_depth"": ""4"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
LightGBM,5,4,0.7353,"{""model__subsample_freq"": ""1"", ""model__subsample"": ""0.85"", ""model__reg_lambda"": ""1.0"", ""model__num_leaves"": ""15"", ""model__n_estimators"": ""400"", ""model__min_child_samples"": ""5"", ""model__max_depth"": ""-1"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
Logistic Regression (L2),5,5,0.6701,"{""model__C"": ""0.05""}"
Elastic-Net Logistic,5,5,0.8242,"{""model__C"": ""0.01"", ""model__l1_ratio"": ""0.15""}"
Random Forest,5,5,0.6813,"{""model__n_estimators"": ""400"", ""model__min_samples_split"": ""2"", ""model__min_samples_leaf"": ""5"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""8""}"
Extra Trees,5,5,0.693,"{""model__n_estimators"": ""200"", ""model__min_samples_leaf"": ""3"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""None""}"
SVM (RBF),5,5,0.6415,"{""model__C"": ""3"", ""model__gamma"": ""0.01""}"
AdaBoost,5,5,0.7357,"{""model__n_estimators"": ""50"", ""model__learning_rate"": ""0.03"", ""model__estimator__min_samples_leaf"": ""2"", ""model__estimator__max_depth"": ""1""}"
XGBoost,5,5,0.7072,"{""model__subsample"": ""0.85"", ""model__scale_pos_weight"": ""3.0"", ""model__reg_lambda"": ""10.0"", ""model__n_estimators"": ""200"", ""model__min_child_weight"": ""3"", ""model__max_depth"": ""3"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
LightGBM,5,5,0.6976,"{""model__subsample_freq"": ""1"", ""model__subsample"": ""0.85"", ""model__reg_lambda"": ""0.0"", ""model__num_leaves"": ""7"", ""model__n_estimators"": ""400"", ""model__min_child_samples"": ""20"", ""model__max_depth"": ""3"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""1.0""}"
