model,imputation,fold,best_inner_auc,best_params
Random Forest,1,5,0.6712,"{""model__n_estimators"": ""400"", ""model__min_samples_split"": ""2"", ""model__min_samples_leaf"": ""5"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""8""}"
Extra Trees,1,5,0.684,"{""model__n_estimators"": ""600"", ""model__min_samples_leaf"": ""5"", ""model__max_features"": ""0.3"", ""model__max_depth"": ""8""}"
SVM (RBF),1,5,0.6362,"{""model__C"": ""3"", ""model__gamma"": ""0.01""}"
AdaBoost,1,5,0.699,"{""model__n_estimators"": ""200"", ""model__learning_rate"": ""0.01"", ""model__estimator__min_samples_leaf"": ""5"", ""model__estimator__max_depth"": ""1""}"
XGBoost,1,5,0.6994,"{""model__subsample"": ""0.85"", ""model__scale_pos_weight"": ""3.0"", ""model__reg_lambda"": ""10.0"", ""model__n_estimators"": ""200"", ""model__min_child_weight"": ""3"", ""model__max_depth"": ""3"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
LightGBM,1,5,0.6934,"{""model__subsample_freq"": ""1"", ""model__subsample"": ""0.85"", ""model__reg_lambda"": ""0.0"", ""model__num_leaves"": ""7"", ""model__n_estimators"": ""400"", ""model__min_child_samples"": ""20"", ""model__max_depth"": ""3"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""1.0""}"
Logistic Regression (L2),2,1,0.6658,"{""model__C"": ""0.01""}"
Elastic-Net Logistic,2,1,0.7911,"{""model__C"": ""0.01"", ""model__l1_ratio"": ""0.15""}"
Random Forest,2,1,0.7056,"{""model__n_estimators"": ""400"", ""model__min_samples_split"": ""2"", ""model__min_samples_leaf"": ""5"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""8""}"
Extra Trees,2,1,0.6826,"{""model__n_estimators"": ""400"", ""model__min_samples_leaf"": ""3"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""5""}"
SVM (RBF),2,1,0.6029,"{""model__C"": ""0.5"", ""model__gamma"": ""0.01""}"
AdaBoost,2,1,0.7604,"{""model__n_estimators"": ""50"", ""model__learning_rate"": ""0.03"", ""model__estimator__min_samples_leaf"": ""2"", ""model__estimator__max_depth"": ""1""}"
XGBoost,2,1,0.7193,"{""model__subsample"": ""0.85"", ""model__scale_pos_weight"": ""1.0"", ""model__reg_lambda"": ""5.0"", ""model__n_estimators"": ""200"", ""model__min_child_weight"": ""3"", ""model__max_depth"": ""4"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
LightGBM,2,1,0.716,"{""model__subsample_freq"": ""1"", ""model__subsample"": ""0.85"", ""model__reg_lambda"": ""5.0"", ""model__num_leaves"": ""7"", ""model__n_estimators"": ""600"", ""model__min_child_samples"": ""20"", ""model__max_depth"": ""3"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
Logistic Regression (L2),2,2,0.6859,"{""model__C"": ""0.001""}"
Elastic-Net Logistic,2,2,0.8276,"{""model__C"": ""0.01"", ""model__l1_ratio"": ""0.15""}"
Random Forest,2,2,0.7059,"{""model__n_estimators"": ""400"", ""model__min_samples_split"": ""2"", ""model__min_samples_leaf"": ""5"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""8""}"
Extra Trees,2,2,0.7529,"{""model__n_estimators"": ""400"", ""model__min_samples_leaf"": ""3"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""5""}"
SVM (RBF),2,2,0.7084,"{""model__C"": ""0.1"", ""model__gamma"": ""0.03""}"
AdaBoost,2,2,0.7743,"{""model__n_estimators"": ""200"", ""model__learning_rate"": ""0.01"", ""model__estimator__min_samples_leaf"": ""5"", ""model__estimator__max_depth"": ""1""}"
XGBoost,2,2,0.7251,"{""model__subsample"": ""0.85"", ""model__scale_pos_weight"": ""1.0"", ""model__reg_lambda"": ""5.0"", ""model__n_estimators"": ""200"", ""model__min_child_weight"": ""3"", ""model__max_depth"": ""4"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
LightGBM,2,2,0.7252,"{""model__subsample_freq"": ""1"", ""model__subsample"": ""0.85"", ""model__reg_lambda"": ""5.0"", ""model__num_leaves"": ""7"", ""model__n_estimators"": ""600"", ""model__min_child_samples"": ""20"", ""model__max_depth"": ""3"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
Logistic Regression (L2),2,3,0.6702,"{""model__C"": ""0.01""}"
Elastic-Net Logistic,2,3,0.7915,"{""model__C"": ""0.1"", ""model__l1_ratio"": ""0.85""}"
Random Forest,2,3,0.722,"{""model__n_estimators"": ""200"", ""model__min_samples_split"": ""10"", ""model__min_samples_leaf"": ""2"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""3""}"
Extra Trees,2,3,0.7073,"{""model__n_estimators"": ""400"", ""model__min_samples_leaf"": ""3"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""5""}"
SVM (RBF),2,3,0.6642,"{""model__C"": ""0.1"", ""model__gamma"": ""0.01""}"
AdaBoost,2,3,0.7639,"{""model__n_estimators"": ""50"", ""model__learning_rate"": ""0.03"", ""model__estimator__min_samples_leaf"": ""2"", ""model__estimator__max_depth"": ""1""}"
XGBoost,2,3,0.7137,"{""model__subsample"": ""0.85"", ""model__scale_pos_weight"": ""1.0"", ""model__reg_lambda"": ""1.0"", ""model__n_estimators"": ""200"", ""model__min_child_weight"": ""3"", ""model__max_depth"": ""3"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""1.0""}"
