threshold_type,threshold,auc,average_precision,brier,accuracy,balanced_accuracy,f1,mcc,sensitivity,specificity,ppv,npv
default 0.50,0.5,0.7799,0.571,0.2148,0.7135,0.6919,0.5664,0.3619,0.64,0.7438,0.5079,0.8333
Youden 0.48,0.4849,0.7799,0.571,0.2148,0.731,0.7454,0.629,0.4505,0.78,0.7107,0.527,0.8866
