bin,n,mean_predicted,observed_rate,brier,calibration_slope,calibration_intercept
1,22,0.3369378021613629,0.09090909090909091,0.2148,2.565,-0.8
2,21,0.39481697807946514,0.14285714285714285,0.2148,2.565,-0.8
3,19,0.4347771543146141,0.0,0.2148,2.565,-0.8
4,23,0.457349752551942,0.21739130434782608,0.2148,2.565,-0.8
5,22,0.48481882558904377,0.3181818181818182,0.2148,2.565,-0.8
6,21,0.5042850844413738,0.2857142857142857,0.2148,2.565,-0.8
7,21,0.5490731739533941,0.6190476190476191,0.2148,2.565,-0.8
8,22,0.6535338035565641,0.6363636363636364,0.2148,2.565,-0.8
