Classifier,AUC_mean_over_imputations,AUC_pooled,CI95_low,CI95_high
Elastic-Net Logistic,0.778,0.78,0.701,0.853
AdaBoost,0.744,0.74,0.661,0.817
Extra Trees,0.719,0.719,0.639,0.802
Random Forest,0.702,0.705,0.624,0.785
XGBoost,0.691,0.694,0.605,0.777
LightGBM,0.678,0.682,0.594,0.768
Logistic Regression (L2),0.654,0.66,0.571,0.755
SVM (RBF),0.539,0.564,0.465,0.659
